"GSS_CODEDZ","DZ_Name","GSS_CODECA","CA_Name","GSS_CODEIZ","MYD02SSH_A20170910Av1_v601_7200_3601_uvb__8b.edit"
"S01001902",NA,"S12000036","Edinburgh_City_of","S02000357",0.0028450277790711
"S01001903",NA,"S12000036","Edinburgh_City_of","S02000349",0.00568665737357531
"S01001904",NA,"S12000036","Edinburgh_City_of","S02000356",0.00385304511490744
"S01001905",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001906",NA,"S12000036","Edinburgh_City_of","S02000354",0.00286543349652627
"S01001907",NA,"S12000036","Edinburgh_City_of","S02000349",0.00568665737357531
"S01001908",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001909",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001910",NA,"S12000036","Edinburgh_City_of","S02000353",0.00385304511490744
"S01001911",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001912",NA,"S12000036","Edinburgh_City_of","S02000353",0.00385304511490744
"S01001913",NA,"S12000036","Edinburgh_City_of","S02000351",0.00385304511490744
"S01001914",NA,"S12000036","Edinburgh_City_of","S02000357",0.00568665737357531
"S01001915",NA,"S12000036","Edinburgh_City_of","S02000351",0.0028450277790711
"S01001916",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001917",NA,"S12000036","Edinburgh_City_of","S02000357",0.0028450277790711
"S01001918",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001919",NA,"S12000036","Edinburgh_City_of","S02000353",0.00385304511490744
"S01001920",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001921",NA,"S12000036","Edinburgh_City_of","S02000356",0.00385304511490744
"S01001922",NA,"S12000036","Edinburgh_City_of","S02000369",0.00390030186970565
"S01001923",NA,"S12000036","Edinburgh_City_of","S02000358",0.00385304511490744
"S01001924",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001925",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001926",NA,"S12000036","Edinburgh_City_of","S02000358",0.00385304511490744
"S01001927",NA,"S12000036","Edinburgh_City_of","S02000361",0.00568665737357531
"S01001928",NA,"S12000036","Edinburgh_City_of","S02000360",0.0028450277790711
"S01001929",NA,"S12000036","Edinburgh_City_of","S02000351",0.0028450277790711
"S01001930",NA,"S12000036","Edinburgh_City_of","S02000357",0.0028450277790711
"S01001931",NA,"S12000036","Edinburgh_City_of","S02000358",0.00385304511490744
"S01001932",NA,"S12000036","Edinburgh_City_of","S02000356",0.00385304511490744
"S01001933",NA,"S12000036","Edinburgh_City_of","S02000351",0.0028450277790711
"S01001934",NA,"S12000036","Edinburgh_City_of","S02000359",0.0028450277790711
"S01001935",NA,"S12000036","Edinburgh_City_of","S02000362",0.00286543349652627
"S01001936",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001937",NA,"S12000036","Edinburgh_City_of","S02000359",0.00385304511490744
"S01001938",NA,"S12000036","Edinburgh_City_of","S02000357",0.0028450277790711
"S01001939",NA,"S12000036","Edinburgh_City_of","S02000357",0.0028450277790711
"S01001940",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001941",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001942",NA,"S12000036","Edinburgh_City_of","S02000357",0.0028450277790711
"S01001943",NA,"S12000036","Edinburgh_City_of","S02000358",0.00385304511490744
"S01001944",NA,"S12000036","Edinburgh_City_of","S02000357",0.00568665737357531
"S01001945",NA,"S12000036","Edinburgh_City_of","S02000361",0.00568665737357531
"S01001946",NA,"S12000036","Edinburgh_City_of","S02000358",0.00385304511490744
"S01001947",NA,"S12000036","Edinburgh_City_of","S02000360",0.0028450277790711
"S01001948",NA,"S12000036","Edinburgh_City_of","S02000362",0.00286543349652627
"S01001949",NA,"S12000036","Edinburgh_City_of","S02000367",0.00385304511490744
